smiles,NG (1321/ 38650)
O=C1OCCC=C[C@H]2O[C@@]34C=CCN(c5ccc6ccccc6c5)C(=O)[C@H]3N(CCCCCCO)C(=O)[C@@H]4[C@@H]12,0
CCc1ccccc1C(=O)N1CCC[C@@H](Cn2cc(C(C)(C)N)nn2)C1,0
CCC[C@@H](O)C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)S(=O)(=O)c1cccc(OC)c1)O2,0
O=C(O)c1cc2c([nH]c1=O)CCC[C@@H]2O,0
O=C(N[C@H](c1ccc2ccccc2n1)c1cccs1)C1CCN(Cc2cccc(C(F)(F)F)c2)CC1,0
N[C@@H](CC(=O)Nc1ccc(Cl)cc1)C(=O)O,0
C[C@@H](O)COC[C@H]1O[C@@H]2O[C@@H]3[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]4[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]5[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]6[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]7[C@@H](COC[C@@H](C)O)O[C@H](O[C@@H]8[C@@H](COC[C@@H](C)O)O[C@H](O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,0
CC(C)CNC(=O)C(=O)NC[C@H]1OCCN1S(=O)(=O)c1ccc2c(c1)OCCO2,0
CN(C)c1ncnc2c1ncn2[C@H]1O[C@@H](CO)[C@@H](N)[C@@H]1O,0
CO[C@H]1C[C@@H](C[C@@H](C)[C@H]2CC(=O)[C@@H](C)/C=C(/C)[C@@H](O)[C@@H](OC)C(=O)[C@@H](C)C[C@@H](C)C=C/C=C\C=C(C)[C@H](OC)C[C@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N3CCCC[C@@H]3C(=O)O2)CC[C@@H]1O,0
CN(C)[C@@H](CN)c1cn(C)c2ccccc12,0
Nc1nc(=O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,0
COC[C@@H](O)CSc1[nH]c(C)nc1[N+](=O)[O-],0
CCOC(=O)c1ccc(NC(=O)N[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)cc1,0
C[C@H]1CNC(=CC(=O)c2ccccc2)C(=O)N1,0
O=C(NC1CCCCC1)[C@@H]1C(c2ccc(Cl)cc2)=C(S(=O)(=O)c2ccccc2)C(=O)N1Cc1ccc(-c2ccccc2)cc1,0
CC(C)C[C@H]1NC(=O)[C@@H](C)NC(=O)[C@@]23C(=O)N[C@@H](Cc4ccccc4)[C@H]2[C@H](C)[C@@]2(C)O[C@H]2[C@@H]3/C=C/C/C=C\CNC1=O,0
CCOC(=O)N1CCN(C[C@@H](O)Cn2c(=O)c3c(ncn3C)n(C)c2=O)CC1,0
CC(=O)Oc1cc2c(c(C)c1OC(C)=O)CC=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C(=O)O)C[C@@H]4[C@]3(C)CC[C@]12C,1
C[C@@]12CC[C@@]3(C)OC[C@@](CO)(CO1)N23,0
Cc1cccc(N2C[C@@H](N)CC2=O)c1,0
NC(=O)N1C(=O)[C@H]2[C@H](C1=O)[C@@H]1C(CCCO)=C[C@H]2N(Cc2cc3c(cc2Br)OCO3)[C@@H]1C1CC1,0
CC(C)N(CCCNC(=O)Nc1ccc(C(C)(C)C)cc1)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1O,0
COc1cc(CO)cc(I)c1O[C@H]1C=C(C(=O)NCCO)C[C@@H](N(Cc2ccc(F)cc2)C(=O)[C@H]2CCCO2)[C@@H]1O,0
Cc1ccc2nc([C@H](N)C(C)C)[nH]c2c1,0
Cc1ccc2n[nH]c(C(=O)N3CCN4C(=O)CNC(=O)[C@@H]4C3)c2c1,0
CCC[C@@H](O)C#Cc1cnc2c(c1)C(=O)N([C@H](C)CO)C[C@H](C)[C@H](CN(C)C(=O)NC1CCCCC1)O2,0
O=C(CN1C(=O)c2cccc3cccc(c23)C1=O)N1CCN(CCN2C(=O)[C@H]3[C@@H]4C=C[C@H](C4)[C@@H]3C2=O)CC1,0
CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1c2ccccc2C[C@@H]1O,0
CC(=O)OC[C@@H]1O[C@H](O[C@@H]2CC[C@]34C[C@]35CC[C@]3(C)[C@@H]([C@@H](C)[C@H]6C[C@@H](O)C(C)(C)O6)CC[C@@]3(C)[C@H]5CC[C@H]4[C@H]2C)[C@@H](O)[C@H](O)[C@@H]1O[C@H]1O[C@@H](CO)[C@@H](O[C@H]2O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H](O[C@H]2O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]2O)[C@@H]1O,0
CC1(C)CC[C@]2(C(=O)O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)C[C@@H](O)[C@H](O[C@H]6O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]6O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1,0
C[C@H]1CCCCN1C(=O)CCS(=O)(=O)c1ccc2c(c1)n(C)c(=O)c(=O)n2C,0
CC(C)CNC(=O)C[C@H]1NCCNC1=O,0
